full_name,type,state,district,twitter_url,bioguide_id
Katie Porter,rep,CA,45,https://twitter.com/katieporteroc,P000618
J. Luis Correa,rep,CA,46,https://twitter.com/voteloucorrea,C001110
Alan S. Lowenthal,rep,CA,47,https://twitter.com/alanlowenthal,L000579
Michelle Steel,rep,CA,48,https://twitter.com/MichelleSteelCA,S001135
Mike Levin,rep,CA,49,https://twitter.com/MikeLevin,L000593
Darrell Issa,rep,CA,50,https://twitter.com/DarrellIssa,I000056
Juan Vargas,rep,CA,51,https://twitter.com/JuanVargas4CA,V000130
Scott H. Peters,rep,CA,52,https://twitter.com/ScottPetersSD,P000608
Sara Jacobs,rep,CA,53,https://twitter.com/SaraJacobsCA,J000305
Diana DeGette,rep,CO,1,https://twitter.com/DeGette5280,D000197
Joe Neguse,rep,CO,2,https://twitter.com/JoeNeguse,N000191
Lauren Boebert,rep,CO,3,https://twitter.com/laurenboebert,B000825
Ken Buck,rep,CO,4,https://twitter.com/BuckForColorado,B001297
Doug Lamborn,rep,CO,5,https://twitter.com/DougLambornCD5,L000564
Jason Crow,rep,CO,6,https://twitter.com/JasonCrowCO,C001121
Ed Perlmutter,rep,CO,7,https://twitter.com/Ed4Colorado,P000593
John B. Larson,rep,CT,1,https://twitter.com/JohnLarsonCT,L000557
Joe Courtney,rep,CT,2,https://twitter.com/JoeCourtneyCT,C001069
Rosa L. DeLauro,rep,CT,3,https://twitter.com/Rosa_DeLauro,D000216
James A. Himes,rep,CT,4,https://twitter.com/jahimes,H001047
Jahana Hayes,rep,CT,5,https://twitter.com/JahanaHayesCT,H001081
Eleanor Holmes Norton,rep,DC,0,https://twitter.com/eleanor4dc,N000147
Lisa Blunt Rochester,rep,DE,0,https://twitter.com/LisaBRochester,B001303
Matt Gaetz,rep,FL,1,https://twitter.com/mattgaetz,G000578
Neal P. Dunn,rep,FL,2,https://twitter.com/DunnCampaign,D000628
Kat Cammack,rep,FL,3,https://twitter.com/Kat_Cammack,C001039
John H. Rutherford,rep,FL,4,https://twitter.com/JRutherfordFL,R000609
"Al Lawson, Jr.",rep,FL,5,https://twitter.com/AlLawsonJr,L000586
Michael Waltz,rep,FL,6,https://twitter.com/michaelgwaltz,W000823
